yts_codearticle;yts_tariftiers;yts_datedebut;yts_datefin;yts_prixnet
HY054;001;01/01/2018 00:00;31/12/2099 00:00;46,4
HY060;001;01/01/2018 00:00;31/12/2099 00:00;91,87
HY061;001;01/01/2018 00:00;31/12/2099 00:00;171,85
HY064;001;01/01/2018 00:00;31/12/2099 00:00;33,4
HY066;001;01/01/2018 00:00;31/12/2099 00:00;17,1
HY072;001;01/01/2018 00:00;31/12/2099 00:00;24,15
HY073;001;01/01/2018 00:00;31/12/2099 00:00;63,85
HY075;001;01/01/2018 00:00;31/12/2099 00:00;88,07
HY077;001;01/01/2018 00:00;31/12/2099 00:00;9,62
HY079;001;01/01/2018 00:00;31/12/2099 00:00;12,94
HY090;001;01/01/2018 00:00;31/12/2099 00:00;157,53
HY091;001;01/01/2018 00:00;31/12/2099 00:00;130,31
HY092;001;01/01/2018 00:00;31/12/2099 00:00;45,1
HY100;001;01/01/2018 00:00;31/12/2099 00:00;14,8
HY103;001;01/01/2018 00:00;31/12/2099 00:00;41,35
HY105;001;01/01/2018 00:00;31/12/2099 00:00;66,47
HY110;001;01/01/2018 00:00;31/12/2099 00:00;68,4
HY111;001;01/01/2018 00:00;31/12/2099 00:00;23,36
HY125;001;01/01/2018 00:00;31/12/2099 00:00;13,0
HY126;001;01/01/2018 00:00;31/12/2099 00:00;33,0
HY140;001;01/01/2018 00:00;31/12/2099 00:00;47,55
HY141;001;01/01/2018 00:00;31/12/2099 00:00;47,55
HY142;001;01/01/2018 00:00;31/12/2099 00:00;47,55
HY143;001;01/01/2018 00:00;31/12/2099 00:00;46,03
HY144;001;01/01/2018 00:00;31/12/2099 00:00;46,03
HY145;001;01/01/2018 00:00;31/12/2099 00:00;46,03
HY146;001;01/01/2018 00:00;31/12/2099 00:00;4,7
HY147;001;01/01/2018 00:00;31/12/2099 00:00;4,7
HY148;001;01/01/2018 00:00;31/12/2099 00:00;4,7
HY14912;001;01/01/2018 00:00;31/12/2099 00:00;28,65
HY14913;001;01/01/2018 00:00;31/12/2099 00:00;33,33
HY14914;001;01/01/2018 00:00;31/12/2099 00:00;33,33
HY149;001;01/01/2018 00:00;31/12/2099 00:00;14,32
HY150;001;01/01/2018 00:00;31/12/2099 00:00;77,57
HY154;001;01/01/2018 00:00;31/12/2099 00:00;79,26
HY155A;001;01/01/2018 00:00;31/12/2099 00:00;3,27
HY155B;001;01/01/2018 00:00;31/12/2099 00:00;15,11
HY155;001;01/01/2018 00:00;31/12/2099 00:00;32,53
HY156A;001;01/01/2018 00:00;31/12/2099 00:00;3,27
HY156B;001;01/01/2018 00:00;31/12/2099 00:00;20,08
HY156;001;01/01/2018 00:00;31/12/2099 00:00;35,0
HY157;001;01/01/2018 00:00;31/12/2099 00:00;28,37
HY158;001;01/01/2018 00:00;31/12/2099 00:00;126,54
HY159A;001;01/01/2018 00:00;31/12/2099 00:00;14,0
HY159;001;01/01/2018 00:00;31/12/2099 00:00;8,48
HY160;001;01/01/2018 00:00;31/12/2099 00:00;60,11
HY161;001;01/01/2018 00:00;31/12/2099 00:00;13,77
HY162;001;01/01/2018 00:00;31/12/2099 00:00;60,11
HY163;001;01/01/2018 00:00;31/12/2099 00:00;13,77
HY164;001;01/01/2018 00:00;31/12/2099 00:00;44,95
HY165;001;01/01/2018 00:00;31/12/2099 00:00;83,4
HY1661L;001;01/01/2018 00:00;31/12/2099 00:00;25,3
HY166;001;01/01/2018 00:00;31/12/2099 00:00;67,45
HY167;001;01/01/2018 00:00;31/12/2099 00:00;59,8
HY169;001;01/01/2018 00:00;31/12/2099 00:00;30,15
HY170;001;01/01/2018 00:00;31/12/2099 00:00;32,68
HY172BC;001;01/01/2018 00:00;31/12/2099 00:00;15,11
HY172;001;01/01/2018 00:00;31/12/2099 00:00;10,75
HY173;001;01/01/2018 00:00;31/12/2099 00:00;12,42
HY174;001;01/01/2018 00:00;31/12/2099 00:00;19,68
HY175;001;01/01/2018 00:00;31/12/2099 00:00;19,3
HY176;001;01/01/2018 00:00;31/12/2099 00:00;14,5
HY177;001;01/01/2018 00:00;31/12/2099 00:00;55,03
HY178;001;01/01/2018 00:00;31/12/2099 00:00;62,25
HY179;001;01/01/2018 00:00;31/12/2099 00:00;87,15
HY180;001;01/01/2018 00:00;31/12/2099 00:00;78,42
HY181;001;01/01/2018 00:00;31/12/2099 00:00;21,02
HY185;001;01/01/2018 00:00;31/12/2099 00:00;34,31
HY186;001;01/01/2018 00:00;31/12/2099 00:00;30,07
HY187;001;01/01/2018 00:00;31/12/2099 00:00;38,0
HY190;001;01/01/2018 00:00;31/12/2099 00:00;19,17
HY191;001;01/01/2018 00:00;31/12/2099 00:00;19,17
HY192;001;01/01/2018 00:00;31/12/2099 00:00;19,17
HY200;001;01/01/2018 00:00;31/12/2099 00:00;13,2
HY201;001;01/01/2018 00:00;31/12/2099 00:00;13,2
HY202;001;01/01/2018 00:00;31/12/2099 00:00;13,2
HY212;001;01/01/2018 00:00;31/12/2099 00:00;24,52
HY213;001;01/01/2018 00:00;31/12/2099 00:00;24,52
HY214;001;01/01/2018 00:00;31/12/2099 00:00;24,52
HY215;001;01/01/2018 00:00;31/12/2099 00:00;24,52
HY216;001;01/01/2018 00:00;31/12/2099 00:00;24,52
HY219;001;01/01/2018 00:00;31/12/2099 00:00;113,9
HY231;001;01/01/2018 00:00;31/12/2099 00:00;41,3
HY232;001;01/01/2018 00:00;31/12/2099 00:00;27,75
HY233;001;01/01/2018 00:00;31/12/2099 00:00;18,4
HY234;001;01/01/2018 00:00;31/12/2099 00:00;19,93
HY238;001;01/01/2018 00:00;31/12/2099 00:00;27,9
HY239;001;01/01/2018 00:00;31/12/2099 00:00;26,5
HY240;001;01/01/2018 00:00;31/12/2099 00:00;16,42
HY241;001;01/01/2018 00:00;31/12/2099 00:00;28,45
HY242;001;01/01/2018 00:00;31/12/2099 00:00;13,61
HY243;001;01/01/2018 00:00;31/12/2099 00:00;15,24
HY247;001;01/01/2018 00:00;31/12/2099 00:00;8,73
HY248;001;01/01/2018 00:00;31/12/2099 00:00;11,02
HY249;001;01/01/2018 00:00;31/12/2099 00:00;19,26
HY251;001;01/01/2018 00:00;31/12/2099 00:00;43,81
HY252;001;01/01/2018 00:00;31/12/2099 00:00;16,78
HY253;001;01/01/2018 00:00;31/12/2099 00:00;28,25
HY254;001;01/01/2018 00:00;31/12/2099 00:00;20,28
HY260;001;01/01/2018 00:00;31/12/2099 00:00;12,28
