gl_naturepieceg;gl_souche;gl_numero;gl_numligne;gl_datepiece;gl_tiers;gl_representant;gl_codearticle;gl_puht;gl_puttc;gl_qtefact;gl_remiseligne;gl_montantht;gl_montantttc
FAC;;VTE/2021/04185;11;19/07/2021;BOUTONSB45;DOSSA;HY286;4,63;5,56;1,0;0;4,63;5,56
FAC;;VTE/2021/04185;12;19/07/2021;BOUTONSB45;DOSSA;SVC001;0;0;1,0;0;0;0
FAC;;VTE/2021/04185;13;19/07/2021;BOUTONSB45;DOSSA;SVC002;0;0;1,0;0;0;0
FAC;;VTE/2021/04185;14;19/07/2021;BOUTONSB45;DOSSA;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04186;1;19/07/2021;CHARPEBE45;DOSSA;SVC001;0;0;1,0;0;0;0
FAC;;VTE/2021/04186;2;19/07/2021;CHARPEBE45;DOSSA;SVC002;0;0;1,0;0;0;0
FAC;;VTE/2021/04186;3;19/07/2021;CHARPEBE45;DOSSA;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04186;4;19/07/2021;CHARPEBE45;DOSSA;HY155B;12,56;15,07;2,0;0;25,12;30,14
FAC;;VTE/2021/04186;5;19/07/2021;CHARPEBE45;DOSSA;HY013;14,5;17,4;6,0;0;87,0;104,4
FAC;;VTE/2021/04186;6;19/07/2021;CHARPEBE45;DOSSA;HY009E;25,8;30,96;2,0;0;51,6;61,92
FAC;;VTE/2021/04187;1;19/07/2021;MAICHATLO;DOSSA;A020;18,41;22,09;12,0;0;220,92;265,1
FAC;;VTE/2021/04187;2;19/07/2021;MAICHATLO;DOSSA;A042;8,5;10,2;4,0;0;34,0;40,8
FAC;;VTE/2021/04187;3;19/07/2021;MAICHATLO;DOSSA;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04187;4;19/07/2021;MAICHATLO;DOSSA;RACSOL45;15,85;19,02;3,0;0;47,55;57,06
FAC;;VTE/2021/04187;5;19/07/2021;MAICHATLO;DOSSA;A090;16,7;20,04;2,0;0;33,4;40,08
FAC;;VTE/2021/04188;1;20/07/2021;PHARPOMM74;DONNE;RAMA 5;80,0;96,0;1,0;0;80,0;96,0
FAC;;VTE/2021/04188;2;20/07/2021;PHARPOMM74;DONNE;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04189;1;20/07/2021;AUTO2ROU74;DONNE;F012;15,04;18,05;1,0;0;15,04;18,05
FAC;;VTE/2021/04189;2;20/07/2021;AUTO2ROU74;DONNE;F300;35,8;42,96;1,0;0;35,8;42,96
FAC;;VTE/2021/04189;3;20/07/2021;AUTO2ROU74;DONNE;U008;23,0;27,6;1,0;0;23,0;27,6
FAC;;VTE/2021/04189;4;20/07/2021;AUTO2ROU74;DONNE;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04189;5;20/07/2021;AUTO2ROU74;DONNE;F011;18,75;22,5;1,0;0;18,75;22,5
FAC;;VTE/2021/04190;1;20/07/2021;ETSPLANC74;DONNE;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04190;2;20/07/2021;ETSPLANC74;DONNE;HY173E;17,0;20,4;1,0;0;17,0;20,4
FAC;;VTE/2021/04190;3;20/07/2021;ETSPLANC74;DONNE;HY155;28,1;33,72;2,0;0;56,2;67,44
FAC;;VTE/2021/04190;4;20/07/2021;ETSPLANC74;DONNE;P003;1,03;1,24;30,0;0;30,9;37,08
FAC;;VTE/2021/04190;5;20/07/2021;ETSPLANC74;DONNE;SVC002;0;0;1,0;0;0;0
FAC;;VTE/2021/04190;6;20/07/2021;ETSPLANC74;DONNE;XHYG;9,8;11,76;3,0;0;29,4;35,28
FAC;;VTE/2021/04191;1;20/07/2021;EIFFTHON74;DONNE;SVC002;0;0;1,0;0;0;0
FAC;;VTE/2021/04191;2;20/07/2021;EIFFTHON74;DONNE;U001;38,0;45,6;1,0;0;38,0;45,6
FAC;;VTE/2021/04191;3;20/07/2021;EIFFTHON74;DONNE;U014;7,4;8,88;1,0;0;7,4;8,88
FAC;;VTE/2021/04191;4;20/07/2021;EIFFTHON74;DONNE;U072;18,7;22,44;1,0;0;18,7;22,44
FAC;;VTE/2021/04191;5;20/07/2021;EIFFTHON74;DONNE;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04192;1;20/07/2021;SAVELYSD59;EVRARD;HY038;38,48;46,18;10,0;0;384,8;461,76
FAC;;VTE/2021/04193;1;20/07/2021;LOXAMREN59;EVRARD;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04193;2;20/07/2021;LOXAMREN59;EVRARD;F024ASS;11,32;13,58;4,0;0;45,28;54,34
FAC;;VTE/2021/04193;3;20/07/2021;LOXAMREN59;EVRARD;F430;24,15;28,98;3,0;0;72,45;86,94
FAC;;VTE/2021/04193;4;20/07/2021;LOXAMREN59;EVRARD;F433;34,0;40,8;2,0;0;68,0;81,6
FAC;;VTE/2021/04193;5;20/07/2021;LOXAMREN59;EVRARD;F190;5,7;6,84;3,0;0;17,1;20,52
FAC;;VTE/2021/04193;6;20/07/2021;LOXAMREN59;EVRARD;F195;3,0;3,6;3,0;0;9,0;10,8
FAC;;VTE/2021/04193;7;20/07/2021;LOXAMREN59;EVRARD;CHEPL1;20,26;24,31;4,0;0;81,04;97,25
FAC;;VTE/2021/04193;8;20/07/2021;LOXAMREN59;EVRARD;HY254;17,17;20,6;5,0;0;85,85;103,02
FAC;;VTE/2021/04194;1;20/07/2021;PEINTDANY;GASSM;PELMBOIS;27,08;32,5;2,0;0;54,16;64,99
FAC;;VTE/2021/04194;2;20/07/2021;PEINTDANY;GASSM;A121;25,8;30,96;3,0;0;77,4;92,88
FAC;;VTE/2021/04194;3;20/07/2021;PEINTDANY;GASSM;A021;24,25;29,1;2,0;0;48,5;58,2
FAC;;VTE/2021/04195;1;20/07/2021;MAIABSCON;EVRARD;HY038;38,48;46,18;10,0;0;384,8;461,76
FAC;;VTE/2021/04195;2;20/07/2021;MAIABSCON;EVRARD;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04196;1;20/07/2021;CMLINDUS62;EVRARD;HY251;38,15;45,78;1,0;0;38,15;45,78
FAC;;VTE/2021/04196;2;20/07/2021;CMLINDUS62;EVRARD;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04196;3;20/07/2021;CMLINDUS62;EVRARD;U026;27,8;33,36;2,0;0;55,6;66,72
FAC;;VTE/2021/04196;4;20/07/2021;CMLINDUS62;EVRARD;A043;7,8;9,36;1,0;0;7,8;9,36
FAC;;VTE/2021/04196;5;20/07/2021;CMLINDUS62;EVRARD;A010;45,6;54,72;1,0;0;45,6;54,72
FAC;;VTE/2021/04196;6;20/07/2021;CMLINDUS62;EVRARD;HY172BCE;17,3;20,76;1,0;0;17,3;20,76
FAC;;VTE/2021/04196;7;20/07/2021;CMLINDUS62;EVRARD;RAMA 5;80,0;96,0;2,0;0;160,0;192,0
FAC;;VTE/2021/04197;1;20/07/2021;HAPPYJOB31;AMSEL;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04197;2;20/07/2021;HAPPYJOB31;AMSEL;U073;19,5;23,4;3,0;0;58,5;70,2
FAC;;VTE/2021/04197;3;20/07/2021;HAPPYJOB31;AMSEL;HY013;14,5;17,4;10,0;0;145,0;174,0
FAC;;VTE/2021/04197;4;20/07/2021;HAPPYJOB31;AMSEL;HY501;53,77;64,52;1,0;0;53,77;64,52
FAC;;VTE/2021/04197;5;20/07/2021;HAPPYJOB31;AMSEL;U070;61,6;73,92;1,0;0;61,6;73,92
FAC;;VTE/2021/04198;1;20/07/2021;COIFSTEF31;AMSEL;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04198;2;20/07/2021;COIFSTEF31;AMSEL;HY125;10,6;12,72;1,0;0;10,6;12,72
FAC;;VTE/2021/04198;3;20/07/2021;COIFSTEF31;AMSEL;A013;45,6;54,72;1,0;0;45,6;54,72
FAC;;VTE/2021/04202;1;20/07/2021;ATELAUDREY;HESS;P005;1,63;1,96;50,0;0;81,5;97,8
FAC;;VTE/2021/04199;1;20/07/2021;TKM;DELBA;CHEPL20;46,95;56,34;1,0;0;46,95;56,34
FAC;;VTE/2021/04199;2;20/07/2021;TKM;DELBA;F035;29,66;35,59;1,0;0;29,66;35,59
FAC;;VTE/2021/04199;3;20/07/2021;TKM;DELBA;F036;7,52;9,02;1,0;0;7,52;9,02
FAC;;VTE/2021/04199;4;20/07/2021;TKM;DELBA;XHYG;26,4;31,68;1,0;0;26,4;31,68
FAC;;VTE/2021/04200;1;20/07/2021;HEPPNERSTR;GASSM;HY202;13,2;15,84;9,0;0;118,8;142,56
